trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.005, 'e': 0.48919211179633154}",20,0,-78.50686930548089,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
145,False,"{'a': 0.005, 'e': 0.4867522559599717}",30,1,-20.8551452747681,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 0}",1
146,False,"{'a': 0.005, 'e': 0.48432456895536247}",30,7,-38.069007811045886,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.005, 'e': 0.48190899009020244}",20,0,-14.978885778636233,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.005, 'e': 0.4795054589748941}",30,12,-105.30252551260479,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 3}",1
149,False,"{'a': 0.005, 'e': 0.4771139155210344}",20,9,-1.9270006507928308,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.005, 'e': 0.4747342999399124}",20,10,-10.20557318744095,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.005, 'e': 0.4723665527410147}",20,0,-98.51263047410353,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
152,False,"{'a': 0.005, 'e': 0.47001061473053796}",20,13,3.758833318073381,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.005, 'e': 0.46766642700990924}",20,14,10.1538451242019,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.005, 'e': 0.4653339309743134}",20,0,-14.154538085312328,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
155,False,"{'a': 0.005, 'e': 0.46301306831122807}",25,0,-56.30923733476024,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
156,False,"{'a': 0.005, 'e': 0.4607037809989658}",20,11,19.791217397455707,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.005, 'e': 0.4584060113052235}",20,0,-6.800723761669658,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
158,False,"{'a': 0.005, 'e': 0.4561197017856392}",30,10,-70.14217935331827,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
159,False,"{'a': 0.005, 'e': 0.45384479528235583}",25,13,18.127473800929675,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.005, 'e': 0.4515812349225922}",25,9,-76.79376411212714,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
161,False,"{'a': 0.005, 'e': 0.44932896411722156}",20,0,-24.289063740813816,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
162,False,"{'a': 0.005, 'e': 0.4470879265593564}",25,0,-24.445271218818768,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
163,False,"{'a': 0.005, 'e': 0.4448580662229411}",25,14,-6.324259709409606,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.005, 'e': 0.4426393273613511}",30,0,-5.375138222786328,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",1
165,False,"{'a': 0.005, 'e': 0.44043165450599925}",20,0,-0.8435604591819833,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.005, 'e': 0.4382349924649492}",25,0,-35.44196588257397,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
167,False,"{'a': 0.005, 'e': 0.43604928632153556}",20,6,-41.405419832655824,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.005, 'e': 0.4338744814329909}",20,3,25.411899053699834,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.005, 'e': 0.43171052342907973}",20,10,-54.024366588831484,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.005, 'e': 0.42955735821073915}",20,0,-45.569977815056745,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
171,False,"{'a': 0.005, 'e': 0.4274149319487267}",25,11,0.8539067677411099,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.005, 'e': 0.42528319108227414}",25,4,7.5522084144672395,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.005, 'e': 0.4231620823177488}",25,0,-23.417327705521405,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
174,False,"{'a': 0.005, 'e': 0.4210515526273212}",20,8,9.522977728804484,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.005, 'e': 0.418951549247639}",20,0,-94.97105277940695,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
176,False,"{'a': 0.005, 'e': 0.4168620196785084}",25,0,3.2275830547373197,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.005, 'e': 0.4147829116815814}",20,0,19.488114771148787,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.005, 'e': 0.4127141732790497}",20,11,-24.636662652783304,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.005, 'e': 0.4106557527523455}",30,14,-28.627363172423514,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
180,False,"{'a': 0.005, 'e': 0.40860759864084845}",30,3,-36.623956918026835,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 1}",1
181,False,"{'a': 0.005, 'e': 0.4065696597405991}",25,0,-27.432209059102593,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
